Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,YearsCodedJobPast,DeveloperType,WebDeveloperType,MobileDeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ExCoderReturn,ExCoderNotForMe,ExCoderBalance,ExCoder10Years,ExCoderBelonged,ExCoderSkills,ExCoderWillNotCode,ExCoderActive,PronounceGIF,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,ClickyKeys,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,CousinEducation,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedFramework,WantWorkFramework,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,MetricAssess,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowDevices,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,Gender,HighestEducationParents,Race,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,ExpectedSalary
419,Professional developer,"Yes, both",Germany,No,Employed full-time,Secondary school,NA,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",6 to 7 years,3 to 4 years,NA,Web developer; Data scientist; Systems administrator,NA,NA,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Disagree,Somewhat agree,Disagree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Disagree,Disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LinkedIn; Other; Xing,I was just giving it a regular update,An external recruiter or headhunter,Somewhat important,Important,Important,Somewhat important,Not very important,Not at all important,Somewhat important,Not at all important,Somewhat important,Somewhat important,Euros (€),Somewhat underpaid,Tabs,Not very important,Online course; Industry certification; Self-taught,Official documentation; Trade book; Stack Overflow Q&A; Stack Overflow Docs; Company internal community; Built-in help,NA,NA,10:00 AM,Java; JavaScript; SQL,JavaScript; SQL,Node.js,Node.js; .NET Core,SQL Server; MySQL,MongoDB,Windows Desktop; Arduino; SharePoint,Windows Desktop; Arduino; Raspberry Pi; SharePoint,Atom; Vim; IntelliJ; Visual Studio,Turn on some music,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not at all satisfied,Very satisfied,Satisfied,Somewhat satisfied,Very satisfied,Not at all satisfied,A lot of influence,Not much influence,Not much influence,Not much influence,Some influence,Not much influence,No influence at all,No influence at all,Not much influence,No influence at all,Some influence,I have created a CV or Developer Story on Stack Overflow,9,Desktop; Android browser; Android app,Several times,Once or twice,Several times,Once or twice,Once or twice,Haven't done at all,Several times,Haven't done at all,Somewhat agree,Somewhat agree,Strongly disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Male,High school,White or of European descent,Agree,Somewhat agree,Disagree,Agree,4.00E+04,NA
420,Professional developer,"Yes, I program as a hobby",Germany,No,Employed full-time,Master's degree,Computer science or software engineering,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",20 or more years,15 to 16 years,NA,Web developer,Full stack Web developer,NA,NA,7,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,I was just giving it a regular update,"A friend, family member, or former colleague told me",Important,Somewhat important,Very important,Somewhat important,Not very important,Not very important,Not very important,Somewhat important,Somewhat important,Important,Euros (€),NA,Both,Very important,Self-taught; Open source contributions,Official documentation; Trade book; Stack Overflow Q&A; Non-Stack online communities; Built-in help,NA,NA,8:00 AM,C#; JavaScript; PHP; SQL,CoffeeScript; Dart; F#; TypeScript,NA,Xamarin; .NET Core,SQL Server; MySQL,NA,Windows Desktop,Microsoft Azure,Emacs; NetBeans; Visual Studio; Visual Studio Code,Turn on some music,NA,Git,A few times a week,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Disagree,Strongly agree,Customer satisfaction; Peers' rating; Self-rating,Very satisfied,Very satisfied,Very satisfied,Not very satisfied,Satisfied,Satisfied,Some influence,Some influence,A lot of influence,Some influence,A lot of influence,Not much influence,A lot of influence,Some influence,No influence at all,Not much influence,Some influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",9,Desktop; Android browser; Android app,At least once each day,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Haven't done at all,Somewhat agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Male,High school,White or of European descent,Somewhat agree,Somewhat agree,Disagree,Strongly agree,NA,NA
421,Professional non-developer who sometimes writes code,"Yes, both",Uzbekistan,No,Employed full-time,Bachelor's degree,A humanities discipline,"Less than half the time, but at least one day each week",20 to 99 employees,State-owned company,1 to 2 years,1 to 2 years,NA,NA,NA,NA,Analyst or consultant,2,3,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Agree,Agree,Disagree,Somewhat agree,Disagree,Disagree,Disagree,Somewhat agree,Agree,Disagree,Somewhat agree,Disagree,Somewhat agree,Agree,Somewhat agree,Agree,"I'm not actively looking, but I am open to new opportunities",10,Between 2 and 4 years ago,Somewhat important,Not very important,Not very important,Somewhat important,Somewhat important,Somewhat important,Important,Somewhat important,Not very important,Not very important,Not very important,Important,Somewhat important,Important,Important,Annual bonus; Vacation/days off; Professional development sponsorship; Education sponsorship; Meals,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tabs,NA,NA,NA,NA,NA,10:00 AM,JavaScript; Python; SQL,JavaScript; Python,Node.js; React,Hadoop; Node.js; React,MySQL; PostgreSQL; SQLite,MongoDB; Redis; SQLite,Linux Desktop,Linux Desktop; Raspberry Pi,Atom; Notepad++; Sublime Text; Vim; PyCharm,Keep the room absolutely quiet,Lean; Extreme,Git,Multiple times a day,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Disagree,NA,Somewhat satisfied,Somewhat satisfied,Not very satisfied,Somewhat satisfied,Not very satisfied,Somewhat satisfied,Some influence,Not much influence,Not much influence,Not much influence,Some influence,No influence at all,Not much influence,Some influence,Some influence,Not much influence,Some influence,I have created a CV or Developer Story on Stack Overflow,9,Desktop,At least once each day,Once or twice,Several times,Once or twice,Several times,Once or twice,Once or twice,Haven't done at all,Somewhat agree,Disagree,Disagree,Agree,Agree,Agree,Somewhat agree,Disagree,Male,A bachelor's degree,I don’t know,Agree,Agree,Disagree,Agree,NA,NA
422,Student,"Yes, I program as a hobby",Poland,No,"Not employed, and not looking for work",Secondary school,NA,NA,NA,NA,8 to 9 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not actively looking, but I am open to new opportunities",NA,Less than a year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polish zloty (zl),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1234.567901
423,Professional developer,"Yes, I program as a hobby",Germany,No,Employed full-time,Master's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",17 to 18 years,8 to 9 years,NA,Mobile developer,NA,iOS; Android,NA,6,9,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Somewhat agree,Agree,Disagree,Agree,I am not interested in new job opportunities,NA,Between 2 and 4 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stock options; Annual bonus; Equipment; Education sponsorship; Meals,Yes,Xing,Something else,Some other way,Not very important,Somewhat important,Very important,Not at all important,Not very important,Not very important,Not at all important,Important,Not at all important,Somewhat important,NA,NA,Spaces,NA,NA,NA,NA,NA,9:00 AM,C#,F#; Python,Xamarin,Xamarin; .NET Core,NA,NA,NA,NA,Visual Studio,Turn on some music,Waterfall; Scrum; Pair,Git,Multiple times a day,Somewhat agree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Peers' rating; Self-rating,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No influence at all,Some influence,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,Not much influence,No influence at all,No influence at all,"I've visited Stack Overflow, but haven't logged in/created an account",9,Desktop,At least once each week,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Disagree,Disagree,Disagree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Male,High school,White or of European descent,Agree,Disagree,Somewhat agree,Agree,NA,NA
424,Professional non-developer who sometimes writes code,No,United States,No,Employed full-time,Master's degree,A humanities discipline,All or almost all the time (I'm full-time remote),100 to 499 employees,"Privately-held limited company, not in startup mode",19 to 20 years,10 to 11 years,NA,NA,NA,NA,Product manager,6,3,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Disagree,Disagree,I am not interested in new job opportunities,NA,Less than a year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Retirement; Annual bonus; Vacation/days off; Health benefits; Remote options,Yes,NA,NA,A general-purpose job board,Important,Somewhat important,Very important,Somewhat important,Not very important,Important,Important,Important,Somewhat important,Very important,NA,NA,Both,NA,NA,NA,NA,NA,9:00 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agile; Scrum; Kanban,I don't use version control,NA,Somewhat agree,Strongly agree,Somewhat agree,Disagree,Agree,Strongly disagree,Disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425,Professional developer,"Yes, I program as a hobby",Germany,No,Employed full-time,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,I prefer not to answer,13 to 14 years,5 to 6 years,NA,Web developer; DevOps specialist,NA,NA,NA,9,5,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,Professional developer,"Yes, both",United Kingdom,No,Employed full-time,Master's degree,Computer science or software engineering,About half the time,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",20 or more years,17 to 18 years,NA,Machine learning specialist; Data scientist,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Disagree,Somewhat agree,Disagree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,British pounds sterling (£),Somewhat overpaid,Spaces,Important,Online course; Industry certification; On-the-job training; Self-taught; Coding competition; Open source contributions,Official documentation; Trade book; Stack Overflow Q&A; Built-in help,NA,NA,9:00 AM,Java; Scala,Java; Scala,Hadoop; Spark,Hadoop; Spark,NA,NA,NA,NA,IntelliJ,Turn on some music,NA,Git,Multiple times a day,Somewhat agree,Strongly agree,Disagree,Strongly disagree,Somewhat agree,Disagree,Strongly agree,Customer satisfaction; Revenue performance; Peers' rating,Satisfied,Satisfied,Satisfied,Very satisfied,Very satisfied,Very satisfied,A lot of influence,No influence at all,No influence at all,Some influence,A lot of influence,A lot of influence,Not much influence,Not much influence,Some influence,No influence at all,No influence at all,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",9,Desktop; Android browser; Android app,At least once each week,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Once or twice,Disagree,Strongly disagree,Strongly disagree,Somewhat agree,Agree,Strongly agree,Agree,Strongly disagree,Male,A professional degree,White or of European descent,Somewhat agree,Somewhat agree,Disagree,Strongly agree,1.50E+05,NA
427,Professional developer,"Yes, I program as a hobby",United States,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",12 to 13 years,2 to 3 years,NA,Mobile developer; Desktop applications developer; Database administrator,NA,NA,NA,10,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I am not interested in new job opportunities,NA,Between 2 and 4 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vacation/days off; Health benefits; Expected work hours; Remote options,No,LinkedIn,I saw an employer's advertisement,An external recruiter or headhunter,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Not very important,Not very important,Important,Not at all important,Very important,U.S. dollars ($),NA,Spaces,Very important,Online course; On-the-job training; Self-taught,Official documentation; Textbook; Stack Overflow Q&A; Non-Stack online communities; Built-in help,NA,Return to college; Take online courses; Buy books and work through the exercises; Other,Noon,C#; SQL; Visual Basic 6,C#; Java; SQL,Xamarin; .NET Core,Xamarin; .NET Core,SQL Server; SQLite,SQL Server; SQLite,Android; iOS,Android; Windows Phone,Notepad++; Eclipse; Visual Studio,Turn on some music,Agile; Scrum,Team Foundation Server,A few times a week,Disagree,Somewhat agree,Disagree,Agree,Strongly agree,Disagree,Agree,Bugs found; Customer satisfaction; Benchmarked product performance; On time/in budget,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",9,Desktop; Android browser; Android app,At least once each week,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Haven't done at all,Disagree,Strongly disagree,Strongly disagree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Male,"Some college/university study, no bachelor's degree",White or of European descent,Strongly disagree,Agree,Strongly disagree,Strongly agree,NA,NA
428,Professional developer,"Yes, I program as a hobby",Albania,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Never,Fewer than 10 employees,I don't know,2 to 3 years,2 to 3 years,NA,Web developer,Full stack Web developer,NA,NA,8,7,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,LinkedIn,A recruiter contacted me,"A friend, family member, or former colleague told me",Not very important,Not very important,Important,Not at all important,Not very important,Somewhat important,Not very important,Somewhat important,Not at all important,Important,Euros (€),Somewhat underpaid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waterfall; Agile; Pair,Team Foundation Server,A few times a week,Disagree,Somewhat agree,Disagree,Strongly agree,Agree,Disagree,Agree,Customer satisfaction; Peers' rating,Not at all satisfied,Not very satisfied,Not very satisfied,Not very satisfied,Not at all satisfied,Satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8602.150538,NA
429,Used to be a professional developer,"Yes, I program as a hobby",United Kingdom,No,Retired,Master's degree,A natural science,NA,NA,NA,20 or more years,NA,20 or more years,NA,NA,NA,NA,8,NA,Disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,"With a hard ""g,"" like ""gift""",Somewhat agree,Agree,Somewhat agree,Disagree,NA,Strongly agree,Agree,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Disagree,Disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spaces,NA,Online course; Self-taught,Official documentation; Trade book; Built-in help,NA,Master's degree; Buy books and work through the exercises,8:00 AM,Java,Java,NA,NA,NA,NA,Mac OS,Mac OS,Eclipse,Turn on some music,Scrum,Subversion,Multiple times a day,Somewhat agree,Agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Agree,Customer satisfaction; Peers' rating,Somewhat satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,8,Desktop; iOS browser,Once or twice,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,At least once each day,Once or twice,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Somewhat agree,Disagree,Male,High school,White or of European descent,Disagree,Somewhat agree,Disagree,Agree,NA,NA
430,Professional developer,"Yes, both",United States,No,Employed full-time,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",10 to 19 employees,Venture-funded startup,20 or more years,8 to 9 years,NA,Web developer,Full stack Web developer,NA,NA,8,7,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Agree,Disagree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Disagree,Strongly agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",NA,More than 4 years ago,Somewhat important,Somewhat important,Somewhat important,Important,Somewhat important,Important,Very important,Important,Important,Important,Somewhat important,Somewhat important,Not very important,Somewhat important,Important,Annual bonus; Vacation/days off; Health benefits; Expected work hours; Remote options,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. dollars ($),Somewhat underpaid,Spaces,Somewhat important,Self-taught; Coding competition; Hackathon; Open source contributions,Official documentation; Stack Overflow Q&A; Non-Stack online communities; Built-in help,NA,NA,8:00 AM,C; JavaScript; SQL,Go; JavaScript; Python; TypeScript,AngularJS; Hadoop; Node.js,AngularJS; Node.js; React; Spark,SQL Server; MySQL; PostgreSQL; Oracle; SQLite,NA,Mac OS; Amazon Web Services (AWS),Raspberry Pi; Amazon Web Services (AWS),Sublime Text,Turn on some music,Agile; Scrum; Kanban,Git,Multiple times a day,Somewhat agree,Somewhat agree,Disagree,Agree,Strongly agree,Disagree,Disagree,On time/in budget; Peers' rating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8,Desktop; Android browser,Several times,Once or twice,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Agree,Disagree,Disagree,Disagree,Somewhat agree,Agree,Somewhat agree,Disagree,Male,"Some college/university study, no bachelor's degree",White or of European descent,Somewhat agree,Somewhat agree,Strongly disagree,Agree,137500,NA
431,Professional developer,"Yes, I program as a hobby",United States,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",10 to 11 years,Less than a year,NA,Developer with a statistics or mathematics background; Desktop applications developer,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I am actively looking for a job,5,Less than a year ago,Not at all important,Not at all important,Not at all important,Not at all important,Not very important,Somewhat important,Very important,Somewhat important,Very important,Not at all important,Not very important,Important,Somewhat important,Important,Not at all important,Vacation/days off; Private office; Expected work hours,Yes,Dice; Indeed; LinkedIn; Monster,A recruiter contacted me,I was contacted directly by someone at the company (e.g. internal recruiter),Very important,Not at all important,Very important,Somewhat important,Not very important,Not at all important,Not at all important,Important,Somewhat important,Important,U.S. dollars ($),Somewhat underpaid,Tabs,Not very important,Self-taught; Coding competition; Hackathon,Official documentation; Non-Stack online communities,NA,NA,10:00 AM,C; C++; Lua,Lua; Python; Rust,NA,NA,MySQL,NA,Windows Desktop; Linux Desktop,Android; Linux Desktop; Arduino,Emacs; Notepad++,Turn on some music,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very satisfied,Not very satisfied,Satisfied,Very satisfied,Not very satisfied,Very satisfied,I am the final decision maker,Not much influence,No influence at all,No influence at all,Not much influence,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,I have created a CV or Developer Story on Stack Overflow,8,Desktop,At least once each week,Several times,Several times,Once or twice,Several times,Haven't done at all,Once or twice,Haven't done at all,Somewhat agree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Gender non-conforming,A bachelor's degree,White or of European descent,Strongly disagree,Agree,Strongly disagree,Strongly agree,5.00E+04,NA
432,Professional developer,"Yes, both",United States,No,Employed full-time,Bachelor's degree,Computer science or software engineering,"More than half, but not all, the time",500 to 999 employees,"Privately-held limited company, not in startup mode",20 or more years,20 or more years,NA,Web developer; Other,NA,NA,NA,10,6,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. dollars ($),Neither underpaid nor overpaid,Spaces,Not very important,Online course; On-the-job training; Self-taught,Official documentation; Trade book; Stack Overflow Q&A; Stack Overflow Docs; Non-Stack online communities; Built-in help,NA,NA,7:00 AM,Groovy; Java; JavaScript; SQL,Groovy; Java; JavaScript; SQL,NA,AngularJS; Hadoop; React,SQL Server; MySQL; PostgreSQL; Oracle,SQL Server; MySQL; PostgreSQL; Oracle,Linux Desktop; Amazon Web Services (AWS),Linux Desktop; Amazon Web Services (AWS),Eclipse; IntelliJ,Turn on some music,Agile; Scrum; Extreme; Pair; Kanban,Git,Multiple times a day,Somewhat agree,Disagree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,On time/in budget; Revenue performance,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Not very satisfied,Somewhat satisfied,Not very satisfied,Some influence,Not much influence,Some influence,A lot of influence,A lot of influence,No influence at all,A lot of influence,Not much influence,A lot of influence,No influence at all,A lot of influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",10,Desktop; Android browser,Several times,Haven't done at all,At least once each week,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60E+05,NA
